,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
279,Hostel Haru,US$112,US$106,0.8 km from centre,Superb,9.1,140 reviews
280,Friendly DH Naissance Hotel,US$86,US$82,4.8 km from centre,Very good,8.3,141 reviews
281,The-K Hotel Seoul,US$101,US$96,11.6 km from centre,Good,7.3,68 reviews
282,Hotel Migliore Seoul,US$86,US$82,2.5 km from centre,Good,7.4,51 reviews
283,Stanford Hotel Myeongdong,,US$154,350 m from centre,Fabulous,8.7,481 reviews
284,Gangnam Boutique Hotel Sohsul,,US$90,8.9 km from centre,Good,7.9,134 reviews
285,The Road Hotel,US$109,US$61,400 m from centre,Fabulous,8.6,26 reviews
286,Forestar Hotel,US$75,US$67,6.9 km from centre,Review score,6.4,26 reviews
287,Aiden by Best Western Cheongdam,US$242,US$115,6.4 km from centre,Very good,8.3,623 reviews
288,9 Brick Hotel,,US$179,5.4 km from centre,Very good,8.5,391 reviews
289,Four Points by Sheraton Seoul Gangnam,,US$195,6.2 km from centre,Good,7.8,471 reviews
290,Amiga Inn Dongdaemun Hotel,,US$70,2 km from centre,Review score,6.2,75 reviews
291,"RYSE, Autograph Collection Seoul",,US$325,5.4 km from centre,Fabulous,8.9,948 reviews
292,JUNIBINO Hotel,,US$89,6.4 km from centre,Fabulous,8.8,52 reviews
293,Hotel Cullinan jongno,US$80,US$76,1.3 km from centre,Review score,6.7,30 reviews
294,Rosana Hotel,US$117,US$111,12 km from centre,Good,7.6,270 reviews
295,Sotetsu Hotels The Splaisir Seoul Dongdaemun,,US$130,2.4 km from centre,Fabulous,8.9,179 reviews
296,LOTTE City Hotel Guro,,US$112,11.4 km from centre,Fabulous,8.7,963 reviews
297,Hotel POP3 Jongno,US$86,US$82,1.3 km from centre,Review score,6.0,14 reviews
298,Hotel The Designers Cheongnyangni,,US$77,6.3 km from centre,Good,7.2,178 reviews
299,Namsan Hill Hotel,,US$76,0.6 km from centre,Good,7.9,255 reviews
300,Namsan Hill Hotel,,US$76,0.6 km from centre,Good,7.9,255 reviews
301,Seoul Garden Hotel,US$304,US$174,3.7 km from centre,Very good,8.4,"1,069 reviews"
302,Savoy Hotel Myeongdong,,US$150,300 m from centre,Very good,8.0,178 reviews
303,Kensington Hotel Yeouido,,US$163,6.3 km from centre,Very good,8.1,581 reviews
304,Nine Star Hotel,US$78,US$74,3.9 km from centre,Review score,3.9,13 reviews
305,Wegoinn Hostel,US$70,US$67,3.5 km from centre,Very good,8.5,113 reviews
